Reg No,Expenditure Category,Election Period,sum_amount
CC10171,Bank Charges & Adjustments,2012-2014,940.05
CC10171,Printing,2012-2014,9602.48
CC10171,Office Supplies,2012-2014,34.18
CC10171,Other,2012-2014,1644.64
CC10171,Utilities,2012-2014,34.18
CC10171,"Surveys, Polls & Voter Lists",2014-2016,560
CC10171,Hawaii Election Campaign Fund,2014-2016,1300
CC10171,Office Supplies,2014-2016,567.31
CC10171,Durable Assets,2014-2016,435.61
CC10171,Advertising,2014-2016,439.05
CC10171,Professional Services,2014-2016,6687.36
CC10171,Contribution to Community Organization,2014-2016,1550
CC10171,Candidate Fundraiser Tickets,2014-2016,250
CC10171,Food & Beverages,2014-2016,5053.16
CC10171,Postage/Mailing,2014-2016,27783.6
CC10171,Printing,2014-2016,22330.16
CC10171,Bank Charges & Adjustments,2014-2016,1627.69
CC10171,Other,2014-2016,2403.17
CC10171,Utilities,2014-2016,512.7
CC10171,Durable Assets,2016-2018,65.96
CC10171,Postage/Mailing,2016-2018,5002.72
CC10171,Professional Services,2016-2018,1138.58
CC10171,Office Supplies,2016-2018,42.35
CC10171,Civic or Community Group Membership,2016-2018,625
CC10171,Contribution to Community Organization,2016-2018,1350
CC10171,Food & Beverages,2016-2018,2359.52
CC10171,Printing,2016-2018,1636.24
CC10171,Bank Charges & Adjustments,2016-2018,1144.84
CC10172,Advertising,2006-2008,13385.55
CC10172,Bank Charges & Adjustments,2006-2008,147
CC10172,Postage/Mailing,2006-2008,4129.93
CC10172,Professional Services,2006-2008,707.35
CC10172,Food & Beverages,2006-2008,587.3
CC10172,Other,2006-2008,498.48
CC10172,Printing,2006-2008,6130.81
CC10172,Bank Charges & Adjustments,2008-2010,2
CC10172,Advertising,2008-2010,8659.35
CC10172,Office Supplies,2008-2010,24.17
CC10172,Professional Services,2008-2010,2399.02
CC10172,Postage/Mailing,2008-2010,2069.04
CC10172,Food & Beverages,2008-2010,282.1
CC10172,Other,2008-2010,166.79
CC10172,Printing,2008-2010,2144.78
CC10172,Lease/Rent,2010-2012,40
CC10172,Hawaii Election Campaign Fund,2010-2012,1240
CC10172,"Surveys, Polls & Voter Lists",2010-2012,120.42
CC10172,Food & Beverages,2010-2012,33.58
CC10172,Filing Fee,2010-2012,250
CC10172,Bank Charges & Adjustments,2010-2012,21.95
CC10172,Travel & Lodging,2010-2012,1387.5
CC10172,Postage/Mailing,2010-2012,5629.75
CC10172,Office Supplies,2010-2012,466.79
CC10172,Other,2010-2012,443.54
CC10172,Printing,2010-2012,8126.98
CC10172,Professional Services,2010-2012,8417.4
CC10172,Advertising,2010-2012,22436.5
CC10172,Hawaii Election Campaign Fund,2012-2014,1174.37
CC10172,Professional Services,2012-2014,83.4
CC10172,Other,2014-2016,2546.08
CC10174,Durable Assets,2006-2008,2600
CC10174,Travel & Lodging,2006-2008,200
CC10174,Vehicle,2006-2008,402
CC10174,Contribution to Political Party,2006-2008,250
CC10174,Printing,2006-2008,2877.73
CC10174,Office Supplies,2006-2008,747.97
CC10174,Filing Fee,2006-2008,250
CC10174,"Surveys, Polls & Voter Lists",2006-2008,920
CC10174,Professional Services,2006-2008,46733.75
CC10174,Other,2006-2008,9470.56
CC10174,Advertising,2006-2008,22469.62
CC10174,Food & Beverages,2006-2008,11871.83
CC10174,Postage/Mailing,2006-2008,14797.8
CC10174,Bank Charges & Adjustments,2008-2010,30
CC10174,Advertising,2008-2010,1014.46
CC10174,Contribution to Political Party,2008-2010,200
CC10174,Printing,2008-2010,1458.54
CC10174,Candidate Fundraiser Tickets,2008-2010,2100
CC10174,Office Supplies,2008-2010,419
CC10174,Contribution to Community Organization,2008-2010,850
CC10174,Postage/Mailing,2008-2010,100
CC10174,Professional Services,2008-2010,6289.34
CC10174,Travel & Lodging,2008-2010,600
CC10174,Other,2008-2010,6019.13
CC10174,Food & Beverages,2008-2010,927.26
CC10174,Contribution to Political Party,2010-2012,200
CC10174,Candidate Fundraiser Tickets,2010-2012,250
CC10174,Printing,2010-2012,1346.51
CC10174,Professional Services,2010-2012,1491.94
CC10174,Food & Beverages,2010-2012,2628.06
CC10174,Travel & Lodging,2010-2012,97
CC10174,Contribution to Community Organization,2010-2012,650
CC10174,Postage/Mailing,2010-2012,760
CC10174,Other,2010-2012,40443.51
CC10174,Advertising,2010-2012,14700.8
CC10174,Bank Charges & Adjustments,2012-2014,100
CC10174,Office Supplies,2012-2014,69.19
CC10174,Contribution to Community Organization,2012-2014,2275
CC10174,Advertising,2012-2014,1313
CC10174,Vehicle,2012-2014,213.98
CC10174,Professional Services,2012-2014,4395.88
CC10174,Contribution to Political Party,2012-2014,1250
CC10174,Travel & Lodging,2012-2014,1275
CC10174,Food & Beverages,2012-2014,9423.7
CC10174,Postage/Mailing,2012-2014,1854.84
CC10174,Other,2012-2014,38038.76
CC10174,Printing,2012-2014,1524.25
CC10174,Durable Assets,2014-2016,1935
CC10174,Professional Services,2014-2016,2000
CC10174,Printing,2014-2016,435.24
CC10174,Office Supplies,2014-2016,871.59
CC10174,Candidate Fundraiser Tickets,2014-2016,1950
CC10174,Advertising,2014-2016,213.08
CC10174,Contribution to Political Party,2014-2016,1350
CC10174,Postage/Mailing,2014-2016,1460.82
CC10174,Food & Beverages,2014-2016,4795.17
CC10174,Contribution to Community Organization,2014-2016,2700
CC10174,Travel & Lodging,2014-2016,632
CC10174,Other,2014-2016,69507.09
CC10174,Postage/Mailing,2016-2018,140
CC10174,Contribution to Community Organization,2016-2018,375
CC10174,Candidate Fundraiser Tickets,2016-2018,250
CC10174,Other,2016-2018,16839.39
CC10174,Food & Beverages,2016-2018,856.42
CC10176,Contribution to Political Party,2006-2008,1500
CC10176,Candidate Fundraiser Tickets,2006-2008,10570
CC10176,Contribution to Community Organization,2006-2008,2625
CC10176,Bank Charges & Adjustments,2008-2010,43
CC10176,Hawaii Election Campaign Fund,2008-2010,400
CC10176,Contribution to Community Organization,2008-2010,9601.64
CC10176,Contribution to Political Party,2008-2010,1000
CC10176,Candidate Fundraiser Tickets,2008-2010,11150
CC10178,Other,2006-2008,381.94
CC10178,Advertising,2006-2008,931.77
CC10178,Office Supplies,2006-2008,149.1
CC10178,Postage/Mailing,2006-2008,314
CC10178,Professional Services,2006-2008,750
CC10178,Food & Beverages,2006-2008,2932.51
CC10178,Candidate Fundraiser Tickets,2008-2010,544.5
CC10178,Professional Services,2008-2010,572.34
CC10178,Postage/Mailing,2008-2010,11962.77
CC10178,Food & Beverages,2008-2010,6895.34
CC10178,Printing,2008-2010,6647.9
CC10178,Filing Fee,2008-2010,250
CC10178,Advertising,2008-2010,2607.08
CC10178,"Surveys, Polls & Voter Lists",2008-2010,841.47
CC10178,Office Supplies,2008-2010,248.5
CC10178,Other,2008-2010,861.72
CC10178,Contribution to Community Organization,2010-2012,75
CC10178,Postage/Mailing,2010-2012,10193.91
CC10178,"Surveys, Polls & Voter Lists",2010-2012,13.78
CC10178,Food & Beverages,2010-2012,5527.86
CC10178,Filing Fee,2010-2012,250
CC10178,Printing,2010-2012,6062.31
CC10178,Bank Charges & Adjustments,2010-2012,60
CC10178,Office Supplies,2010-2012,431.65
CC10178,Other,2010-2012,74.42
CC10178,Professional Services,2010-2012,2075.02
CC10178,Advertising,2010-2012,2161.26
CC10178,Contribution to Community Organization,2012-2014,50
CC10178,Candidate Fundraiser Tickets,2012-2014,1000
CC10178,Other,2014-2016,61.57
CC10178,Office Supplies,2014-2016,71.57
CC10178,Food & Beverages,2014-2016,5727.45
CC10178,Printing,2014-2016,5681.67
CC10178,Professional Services,2014-2016,5133.2
CC10178,Advertising,2014-2016,749.74
CC10178,Filing Fee,2014-2016,25
CC10178,Postage/Mailing,2014-2016,4708.69
CC10179,Contribution to Political Party,2006-2008,100
CC10179,"Surveys, Polls & Voter Lists",2006-2008,296.57
CC10179,Bank Charges & Adjustments,2006-2008,60
CC10179,Lease/Rent,2006-2008,368.86
CC10179,Postage/Mailing,2006-2008,2434.24
CC10179,Printing,2006-2008,5442.26
CC10179,Filing Fee,2006-2008,250
CC10179,Advertising,2006-2008,2656.74
CC10179,Food & Beverages,2006-2008,4360.52
CC10179,Other,2006-2008,4227.83
CC10179,Contribution to Community Organization,2008-2010,30
CC10179,Office Supplies,2008-2010,169.29
CC10179,Advertising,2008-2010,3546.33
CC10179,Postage/Mailing,2008-2010,496.52
CC10179,Printing,2008-2010,6410.02
CC10179,Filing Fee,2008-2010,250
CC10179,Food & Beverages,2008-2010,2751.02
CC10179,Other,2008-2010,896.35
CC10179,Hawaii Election Campaign Fund,2010-2012,831.49
CC10180,Lease/Rent,2006-2008,106
CC10180,Filing Fee,2006-2008,250
CC10180,Advertising,2006-2008,246.07
CC10180,Utilities,2006-2008,209.7
CC10180,Candidate Fundraiser Tickets,2006-2008,614.04
CC10180,Printing,2006-2008,5772.47
CC10180,Postage/Mailing,2006-2008,5789.45
CC10180,Professional Services,2006-2008,441.45
CC10180,"Surveys, Polls & Voter Lists",2006-2008,24
CC10180,Contribution to Community Organization,2006-2008,804.63
CC10180,Food & Beverages,2006-2008,6648.59
CC10180,Other,2006-2008,2158.02
CC10180,Bank Charges & Adjustments,2006-2008,19.25
CC10180,Office Supplies,2006-2008,3386.27
CC10180,Advertising,2008-2010,746.2
CC10180,Filing Fee,2008-2010,250
CC10180,Utilities,2008-2010,473
CC10180,Postage/Mailing,2008-2010,16250.17
CC10180,Lease/Rent,2008-2010,118
CC10180,Durable Assets,2008-2010,366.85
CC10180,Printing,2008-2010,18143.16
CC10180,"Surveys, Polls & Voter Lists",2008-2010,230.72
CC10180,Office Supplies,2008-2010,748.68
CC10180,Candidate Fundraiser Tickets,2008-2010,2200
CC10180,Food & Beverages,2008-2010,8819.27
CC10180,Professional Services,2008-2010,1058.9
CC10180,Contribution to Community Organization,2008-2010,1352.15
CC10180,Other,2008-2010,5449.55
CC10180,Advertising,2010-2012,1242.67
CC10180,Candidate Fundraiser Tickets,2010-2012,3750
CC10180,Filing Fee,2010-2012,250
CC10180,Lease/Rent,2010-2012,136
CC10180,Office Supplies,2010-2012,685.37
CC10180,Food & Beverages,2010-2012,7649.79
CC10180,Contribution to Community Organization,2010-2012,1150.33
CC10180,Printing,2010-2012,7707.2
CC10180,Postage/Mailing,2010-2012,7835.89
CC10180,Durable Assets,2010-2012,4287.92
CC10180,Other,2010-2012,5852.85
CC10180,Advertising,2012-2014,350
CC10180,Filing Fee,2012-2014,250
CC10180,Printing,2012-2014,13174.62
CC10180,Candidate Fundraiser Tickets,2012-2014,1500
CC10180,Postage/Mailing,2012-2014,11980.61
CC10180,Lease/Rent,2012-2014,158
CC10180,Office Supplies,2012-2014,316.74
CC10180,Durable Assets,2012-2014,2644.96
CC10180,Contribution to Community Organization,2012-2014,1069.63
CC10180,Bank Charges & Adjustments,2012-2014,55.75
CC10180,Food & Beverages,2012-2014,5216.25
CC10180,Other,2012-2014,5044.88
CC10180,Candidate Fundraiser Tickets,2014-2016,200
CC10180,Filing Fee,2014-2016,250
CC10180,Printing,2014-2016,10673.81
CC10180,Postage/Mailing,2014-2016,10475.89
CC10180,Lease/Rent,2014-2016,211.75
CC10180,Office Supplies,2014-2016,362.94
CC10180,Durable Assets,2014-2016,314.13
CC10180,Hawaii Election Campaign Fund,2014-2016,25
CC10180,Contribution to Community Organization,2014-2016,2716.21
CC10180,Food & Beverages,2014-2016,4563.44
CC10180,Other,2014-2016,5398.31
CC10180,Office Supplies,2016-2018,91.79
CC10180,Postage/Mailing,2016-2018,90.6
CC10180,Civic or Community Group Membership,2016-2018,175
CC10180,Printing,2016-2018,5783.3
CC10180,Other,2016-2018,1266.04
CC10180,Food & Beverages,2016-2018,1020.7
CC10180,Candidate Fundraiser Tickets,2016-2018,1000
CC10180,Contribution to Community Organization,2016-2018,2150
CC10181,Lease/Rent,2006-2008,115
CC10181,Postage/Mailing,2006-2008,2276.42
CC10181,Office Supplies,2006-2008,36.81
CC10181,Printing,2006-2008,2142.41
CC10181,Bank Charges & Adjustments,2006-2008,8.5
CC10181,Professional Services,2006-2008,779.96
CC10181,"Surveys, Polls & Voter Lists",2006-2008,100
CC10181,Food & Beverages,2006-2008,1415.31
CC10181,Other,2006-2008,4085.77
CC10181,Advertising,2006-2008,10695.16
CC10182,Advertising,2006-2008,433.2
CC10182,Advertising,2008-2010,219.79
CC10182,Other,2008-2010,39.5
CC10182,Contribution to Community Organization,2008-2010,6090
CC10184,Professional Services,2006-2008,146.58
CC10184,Candidate Fundraiser Tickets,2006-2008,140.04
CC10184,Lease/Rent,2006-2008,170
CC10184,Postage/Mailing,2006-2008,8665.76
CC10184,Printing,2006-2008,6852.02
CC10184,Filing Fee,2006-2008,250
CC10184,Food & Beverages,2006-2008,4046.07
CC10184,Other,2006-2008,292.04
CC10184,"Surveys, Polls & Voter Lists",2006-2008,264.9
CC10184,Advertising,2006-2008,2206.07
CC10184,Office Supplies,2006-2008,176.07
CC10184,Employee Services,2008-2010,150
CC10184,Candidate Fundraiser Tickets,2008-2010,70.02
CC10184,Printing,2008-2010,8483.95
CC10184,Advertising,2008-2010,314.14
CC10184,Professional Services,2008-2010,213.81
CC10184,Other,2008-2010,198.85
CC10184,Postage/Mailing,2008-2010,14760.68
CC10184,Office Supplies,2008-2010,268.04
CC10184,Food & Beverages,2008-2010,2918.27
CC10184,Filing Fee,2008-2010,250
CC10184,Lease/Rent,2010-2012,120
CC10184,Candidate Fundraiser Tickets,2010-2012,1000
CC10184,Filing Fee,2010-2012,250
CC10184,Printing,2010-2012,10737.89
CC10184,Food & Beverages,2010-2012,5085.34
CC10184,Other,2010-2012,2440.8
CC10184,Postage/Mailing,2010-2012,20321.16
CC10184,Professional Services,2010-2012,666.49
CC10184,Durable Assets,2010-2012,85.64
CC10184,Advertising,2010-2012,16511.51
CC10184,Contribution to Community Organization,2012-2014,4018.86
CC10184,Candidate Fundraiser Tickets,2012-2014,1000
CC10186,Professional Services,2006-2008,75
CC10186,Postage/Mailing,2006-2008,6108.84
CC10186,Lease/Rent,2006-2008,1436.24
CC10186,"Surveys, Polls & Voter Lists",2006-2008,425.03
CC10186,Utilities,2006-2008,718.12
CC10186,Food & Beverages,2006-2008,5685.27
CC10186,Contribution to Political Party,2006-2008,8410
CC10186,Printing,2006-2008,2976.96
CC10186,Filing Fee,2006-2008,250
CC10186,Contribution to Community Organization,2006-2008,1584.38
CC10186,Durable Assets,2006-2008,1937.94
CC10186,Office Supplies,2006-2008,232.47
CC10186,Candidate Fundraiser Tickets,2006-2008,2850
CC10186,Other,2006-2008,5517.63
CC10186,Contribution to Political Party,2008-2010,100
CC10186,Postage/Mailing,2008-2010,11977.37
CC10186,Printing,2008-2010,7703.92
CC10186,Lease/Rent,2008-2010,1590.54
CC10186,"Surveys, Polls & Voter Lists",2008-2010,193.46
CC10186,Professional Services,2008-2010,337.95
CC10186,Candidate Fundraiser Tickets,2008-2010,4000
CC10186,Food & Beverages,2008-2010,5043.01
CC10186,Utilities,2008-2010,746.84
CC10186,Contribution to Community Organization,2008-2010,2505.33
CC10186,Filing Fee,2008-2010,250
CC10186,Durable Assets,2008-2010,1596.86
CC10186,Other,2008-2010,3663.34
CC10186,Postage/Mailing,2010-2012,2905.6
CC10186,Candidate Fundraiser Tickets,2010-2012,4000
CC10186,Printing,2010-2012,2144.14
CC10186,Lease/Rent,2010-2012,646.17
CC10186,Utilities,2010-2012,250.38
CC10186,Filing Fee,2010-2012,250
CC10186,Office Supplies,2010-2012,43.84
CC10186,Food & Beverages,2010-2012,8669.83
CC10186,Other,2010-2012,1728.39
CC10186,Contribution to Community Organization,2010-2012,1751.04
CC10186,Postage/Mailing,2012-2014,14715.09
CC10186,Lease/Rent,2012-2014,477.66
CC10186,Bank Charges & Adjustments,2012-2014,32.5
CC10186,Other,2012-2014,4622.38
CC10186,"Surveys, Polls & Voter Lists",2012-2014,95.99
CC10186,Contribution to Political Party,2012-2014,25000
CC10186,Filing Fee,2012-2014,250
CC10186,Candidate Fundraiser Tickets,2012-2014,16800
CC10186,Printing,2012-2014,9664.03
CC10186,Office Supplies,2012-2014,2.08
CC10186,Food & Beverages,2012-2014,20310.57
CC10186,Contribution to Community Organization,2012-2014,600
CC10186,Office Supplies,2014-2016,55
CC10186,Lease/Rent,2014-2016,532.13
CC10186,Professional Services,2014-2016,35191.1
CC10186,Postage/Mailing,2014-2016,8903.26
CC10186,Hawaii Election Campaign Fund,2014-2016,25
CC10186,Contribution to Political Party,2014-2016,4500
CC10186,Filing Fee,2014-2016,250
CC10186,Printing,2014-2016,4411.2
CC10186,Travel & Lodging,2014-2016,3912.39
CC10186,Candidate Fundraiser Tickets,2014-2016,36200
CC10186,Food & Beverages,2014-2016,17359.57
CC10186,Other,2014-2016,3099.2
CC10186,Contribution to Community Organization,2014-2016,3922
CC10186,Printing,2016-2018,1193.72
CC10186,Other,2016-2018,200
CC10186,Lease/Rent,2016-2018,344.54
CC10186,Contribution to Community Organization,2016-2018,1355
CC10186,Civic or Community Group Membership,2016-2018,250
CC10186,Travel & Lodging,2016-2018,123.88
CC10186,Candidate Fundraiser Tickets,2016-2018,12000
CC10186,Food & Beverages,2016-2018,9245.73
CC10187,Contribution to Political Party,2006-2008,500
CC10187,Candidate Fundraiser Tickets,2006-2008,2000
CC10187,Office Supplies,2006-2008,41.36
CC10187,Contribution to Community Organization,2006-2008,150
CC10187,Candidate Fundraiser Tickets,2008-2010,500
CC10187,Hawaii Election Campaign Fund,2008-2010,50
CC10187,Travel & Lodging,2008-2010,540.6
CC10187,Printing,2008-2010,1346.7
CC10187,Postage/Mailing,2008-2010,1054.24
CC10187,Vehicle,2008-2010,83.16
CC10187,Professional Services,2008-2010,4658.75
CC10187,Contribution to Political Party,2008-2010,900
CC10187,Filing Fee,2008-2010,258
CC10187,Food & Beverages,2008-2010,4973.91
CC10187,Office Supplies,2008-2010,795.13
CC10187,Other,2008-2010,1163.74
CC10187,Contribution to Community Organization,2008-2010,2320
CC10187,Advertising,2008-2010,30768.63
CC10187,Advertising,2010-2012,2863.33
CC10187,Other,2010-2012,217.91
CC10187,Food & Beverages,2010-2012,4008.92
CC10187,Professional Services,2010-2012,3400
CC10187,Postage/Mailing,2010-2012,440
CC10187,Hawaii Election Campaign Fund,2010-2012,600
CC10187,Candidate Fundraiser Tickets,2010-2012,6630
CC10187,Contribution to Community Organization,2010-2012,3980
CC10187,Hawaii Election Campaign Fund,2012-2014,200
CC10187,Contribution to Community Organization,2012-2014,15380.65
CC10187,Candidate Fundraiser Tickets,2012-2014,400
CC10188,Bank Charges & Adjustments,2006-2008,5
CC10188,"Surveys, Polls & Voter Lists",2006-2008,2252.44
CC10188,Filing Fee,2006-2008,250
CC10188,Office Supplies,2006-2008,496.61
CC10188,Candidate Fundraiser Tickets,2006-2008,703.43
CC10188,Postage/Mailing,2006-2008,12641.16
CC10188,Lease/Rent,2006-2008,1149
CC10188,Other,2006-2008,4496.39
CC10188,Food & Beverages,2006-2008,29620.25
CC10188,Hawaii Election Campaign Fund,2006-2008,100
CC10188,Professional Services,2006-2008,3945.43
CC10188,Printing,2006-2008,16686.97
CC10188,Contribution to Community Organization,2006-2008,2050
CC10188,Advertising,2006-2008,15405.52
CC10188,Candidate Fundraiser Tickets,2008-2010,2268.95
CC10188,Postage/Mailing,2008-2010,15182.88
CC10188,Printing,2008-2010,706.81
CC10188,Lease/Rent,2008-2010,1795.37
CC10188,Filing Fee,2008-2010,250
CC10188,Professional Services,2008-2010,4323.05
CC10188,Contribution to Community Organization,2008-2010,2000
CC10188,Advertising,2008-2010,49002.54
CC10188,Office Supplies,2008-2010,1690.17
CC10188,Food & Beverages,2008-2010,27189.52
CC10188,Other,2008-2010,4424.62
CC10188,Other,2010-2012,500
CC10188,Printing,2010-2012,7224.99
CC10188,Bank Charges & Adjustments,2010-2012,47
CC10188,Filing Fee,2010-2012,250
CC10188,Postage/Mailing,2010-2012,5230.98
CC10188,Contribution to Community Organization,2010-2012,1200
CC10188,Office Supplies,2010-2012,33.84
CC10188,Advertising,2010-2012,21165.79
CC10188,Lease/Rent,2010-2012,483.56
CC10188,Food & Beverages,2010-2012,8723.59
CC10188,Advertising,2012-2014,475
CC10188,Bank Charges & Adjustments,2012-2014,190.67
CC10188,Other,2012-2014,900
CC10188,Printing,2012-2014,10210.21
CC10188,Postage/Mailing,2012-2014,4559.59
CC10188,Contribution to Community Organization,2012-2014,1350
CC10188,Food & Beverages,2012-2014,2137.82
CC10188,Office Supplies,2012-2014,51.84
CC10188,Bank Charges & Adjustments,2014-2016,10
CC10188,Hawaii Election Campaign Fund,2014-2016,62.5
CC10188,Food & Beverages,2014-2016,391.4
CC10188,Contribution to Community Organization,2014-2016,250
CC10189,Office Supplies,2006-2008,297.24
CC10189,Filing Fee,2006-2008,25
CC10189,Postage/Mailing,2006-2008,125
CC10189,Candidate Fundraiser Tickets,2006-2008,140
CC10189,Contribution to Community Organization,2006-2008,174.71
CC10189,Advertising,2006-2008,5055.69
CC10189,Printing,2006-2008,2292.5
CC10189,Travel & Lodging,2006-2008,3098.18
CC10189,Other,2006-2008,8404.13
CC10189,Food & Beverages,2006-2008,11933.84
CC10189,Office Supplies,2008-2010,111.53
CC10189,Vehicle,2008-2010,421.11
CC10189,Filing Fee,2008-2010,25
CC10189,Professional Services,2008-2010,3640
CC10189,Printing,2008-2010,788.17
CC10189,Lease/Rent,2008-2010,192.71
CC10189,Contribution to Community Organization,2008-2010,134
CC10189,Postage/Mailing,2008-2010,264
CC10189,Advertising,2008-2010,4936.64
CC10189,Travel & Lodging,2008-2010,3021.1
CC10189,Food & Beverages,2008-2010,7607.13
CC10189,Other,2008-2010,3901.97
CC10189,Other,2010-2012,575.88
CC10189,Postage/Mailing,2010-2012,201.9
CC10189,Lease/Rent,2010-2012,450
CC10189,Office Supplies,2010-2012,46.98
CC10189,Contribution to Community Organization,2010-2012,325.74
CC10189,Food & Beverages,2010-2012,5144.36
CC10189,Advertising,2010-2012,270
CC10189,Contribution to Community Organization,2012-2014,5000
CC10189,Other,2014-2016,3554.13
CC10190,Filing Fee,2006-2008,250
CC10190,Professional Services,2006-2008,209.42
CC10190,Contribution to Community Organization,2006-2008,1090.19
CC10190,Candidate Fundraiser Tickets,2006-2008,4650
CC10190,Office Supplies,2006-2008,348.6
CC10190,Lease/Rent,2006-2008,174.12
CC10190,Printing,2006-2008,4749.99
CC10190,"Surveys, Polls & Voter Lists",2006-2008,233.87
CC10190,Postage/Mailing,2006-2008,2304.3
CC10190,Food & Beverages,2006-2008,2707.26
CC10190,Other,2006-2008,1121.49
CC10190,Contribution to Political Party,2006-2008,2270
CC10190,Utilities,2006-2008,1250.46
CC10190,Lease/Rent,2008-2010,64.92
CC10190,Filing Fee,2008-2010,250
CC10190,Candidate Fundraiser Tickets,2008-2010,2500
CC10190,Printing,2008-2010,10646.4
CC10190,Contribution to Community Organization,2008-2010,3008.82
CC10190,Office Supplies,2008-2010,1043.75
CC10190,Postage/Mailing,2008-2010,11198.12
CC10190,Other,2008-2010,415.42
CC10190,Food & Beverages,2008-2010,5471.66
CC10190,Utilities,2008-2010,2624.52
CC10190,Travel & Lodging,2010-2012,650.51
CC10190,Lease/Rent,2010-2012,406.8
CC10190,Filing Fee,2010-2012,250
CC10190,"Surveys, Polls & Voter Lists",2010-2012,1013.61
CC10190,Printing,2010-2012,6018.99
CC10190,Office Supplies,2010-2012,1336.1
CC10190,Utilities,2010-2012,2931.54
CC10190,Postage/Mailing,2010-2012,6871.89
CC10190,Contribution to Community Organization,2010-2012,2118.25
CC10190,Candidate Fundraiser Tickets,2010-2012,525
CC10190,Other,2010-2012,1435.21
CC10190,Food & Beverages,2010-2012,7527.56
CC10190,Utilities,2012-2014,1767.58
CC10190,Travel & Lodging,2012-2014,2249.33
CC10190,Lease/Rent,2012-2014,135.92
CC10190,Filing Fee,2012-2014,250
CC10190,Contribution to Political Party,2012-2014,300
CC10190,Office Supplies,2012-2014,43.61
CC10190,Durable Assets,2012-2014,417.8
CC10190,Postage/Mailing,2012-2014,14072.42
CC10190,Printing,2012-2014,11627.92
CC10190,Other,2012-2014,1410.58
CC10190,Contribution to Community Organization,2012-2014,2759.05
CC10190,"Surveys, Polls & Voter Lists",2012-2014,796.5
CC10190,Candidate Fundraiser Tickets,2012-2014,6100
CC10190,Food & Beverages,2012-2014,8192.23
CC10190,Filing Fee,2014-2016,250
CC10190,Candidate Fundraiser Tickets,2014-2016,3000
CC10190,Printing,2014-2016,4404.6
CC10190,Contribution to Community Organization,2014-2016,1636.66
CC10190,Postage/Mailing,2014-2016,4528.57
CC10190,Travel & Lodging,2014-2016,2907.3
CC10190,Other,2014-2016,3529.53
CC10190,"Surveys, Polls & Voter Lists",2014-2016,471.2
CC10190,Food & Beverages,2014-2016,3216.39
CC10190,Candidate Fundraiser Tickets,2016-2018,2000
CC10190,Printing,2016-2018,2416.75
CC10190,Contribution to Community Organization,2016-2018,986.66
CC10190,Postage/Mailing,2016-2018,2290.89
CC10190,Other,2016-2018,1214.25
CC10190,Travel & Lodging,2016-2018,2725.13
CC10190,Food & Beverages,2016-2018,1717.73
CC10191,Candidate Fundraiser Tickets,2006-2008,7700
CC10191,Lease/Rent,2006-2008,318
CC10191,Professional Services,2006-2008,1525
CC10191,Office Supplies,2006-2008,1696.98
CC10191,Contribution to Political Party,2006-2008,350
CC10191,Advertising,2006-2008,4420.53
CC10191,Food & Beverages,2006-2008,9491.19
CC10191,Printing,2006-2008,6666.28
CC10191,Filing Fee,2006-2008,325
CC10191,Contribution to Community Organization,2006-2008,3630
CC10191,Professional Services,2008-2010,150
CC10191,Office Supplies,2008-2010,1055.2
CC10191,Filing Fee,2008-2010,250
CC10191,Lease/Rent,2008-2010,751.83
CC10191,Bank Charges & Adjustments,2008-2010,60
CC10191,Contribution to Political Party,2008-2010,3250
CC10191,Advertising,2008-2010,3124.25
CC10191,Candidate Fundraiser Tickets,2008-2010,10100
CC10191,Printing,2008-2010,16698.98
CC10191,Postage/Mailing,2008-2010,835.69
CC10191,Food & Beverages,2008-2010,10513.84
CC10191,Contribution to Community Organization,2008-2010,5750
CC10191,Other,2008-2010,1513.79
CC10191,"Surveys, Polls & Voter Lists",2010-2012,450
CC10191,Lease/Rent,2010-2012,700
CC10191,Advertising,2010-2012,1434.56
CC10191,Filing Fee,2010-2012,550
CC10191,Professional Services,2010-2012,400
CC10191,Food & Beverages,2010-2012,11538.1
CC10191,Contribution to Political Party,2010-2012,5050
CC10191,Candidate Fundraiser Tickets,2010-2012,12000
CC10191,Postage/Mailing,2010-2012,384.15
CC10191,Other,2010-2012,3349.44
CC10191,Office Supplies,2010-2012,541.79
CC10191,Contribution to Community Organization,2010-2012,7215
CC10191,Printing,2010-2012,17639.09
CC10191,Postage/Mailing,2012-2014,454.64
CC10191,Vehicle,2012-2014,91.3
CC10191,Filing Fee,2012-2014,250
CC10191,Bank Charges & Adjustments,2012-2014,50.12
CC10191,Office Supplies,2012-2014,688.76
CC10191,Advertising,2012-2014,4099.46
CC10191,Food & Beverages,2012-2014,4160.01
CC10191,Contribution to Political Party,2012-2014,6100
CC10191,Candidate Fundraiser Tickets,2012-2014,5500
CC10191,Lease/Rent,2012-2014,812.02
CC10191,Contribution to Community Organization,2012-2014,3400
CC10191,Other,2012-2014,8392.24
CC10191,Printing,2012-2014,18076.52
CC10191,Filing Fee,2014-2016,250
CC10191,Postage/Mailing,2014-2016,187
CC10191,Food & Beverages,2014-2016,5006.29
CC10191,Office Supplies,2014-2016,736.04
CC10191,Printing,2014-2016,20022.43
CC10191,Professional Services,2014-2016,325
CC10191,Contribution to Political Party,2014-2016,4200
CC10191,Advertising,2014-2016,11976.72
CC10191,Candidate Fundraiser Tickets,2014-2016,6600
