Reg No,Expenditure Category,Election Period,Amount
CC10349,Office Supplies,2006-2008,306.74
CC10349,"Filing Fee, Escheat, Fine",2006-2008,258.00
CC10349,Donations,2006-2008,300.00
CC10349,Food & Beverages,2006-2008,1977.18
CC10349,Utilities,2006-2008,707.78
CC10349,Contribution to Political Party,2006-2008,30.00
CC10349,"Vehicle, Gas & Parking",2006-2008,484.31
CC10349,Other,2010-2012,1702.25
CC10350,Postage/Mailing,2006-2008,3079.88
CC10350,Other,2006-2008,844.77
CC10350,"Bank Charges, Merchant Fees & Adjustments",2006-2008,48.48
CC10350,Office Supplies,2006-2008,312.30
CC10350,"Surveys, Polls, Research & Voter Lists",2006-2008,261.78
CC10350,"Contract, Employee & Professional Services",2006-2008,605.00
CC10350,Food & Beverages,2006-2008,2530.29
CC10350,"Printing, Postage, Mailing & Freight",2006-2008,6055.09
CC10350,Campaign Headquarters,2006-2008,225.00
CC10350,"Advertising, Media & Collateral Materials",2006-2008,3130.39
CC10350,Hawaii Election Campaign Fund,2008-2010,1818.11
CC10350,"Contract, Employee & Professional Services",2008-2010,200.00
CC10351,Campaign Headquarters,2006-2008,500.00
CC10351,Food & Beverages,2006-2008,426.00
CC10351,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10351,"Advertising, Media & Collateral Materials",2006-2008,6335.72
CC10351,"Bank Charges, Merchant Fees & Adjustments",2006-2008,34.58
CC10351,Office Supplies,2006-2008,759.05
CC10351,Food & Beverages,2008-2010,413.46
CC10352,"Advertising, Media & Collateral Materials",2006-2008,23996.79
CC10352,Office Supplies,2006-2008,39.45
CC10352,Candidate Fundraiser Tickets,2006-2008,416.24
CC10352,Postage/Mailing,2006-2008,7662.63
CC10352,"Vehicle, Gas & Parking",2006-2008,50.44
CC10352,Travel & Lodging,2006-2008,173.29
CC10352,Food & Beverages,2006-2008,2027.09
CC10352,Other,2006-2008,2875.96
CC10352,"Surveys, Polls, Research & Voter Lists",2006-2008,300.00
CC10352,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10352,"Filing Fee, Escheat, Fine",2008-2010,260.00
CC10352,Hawaii Election Campaign Fund,2008-2010,122.50
CC10352,Contribution to Political Party,2008-2010,700.00
CC10352,Durable Assets (Supplies/Equipment),2008-2010,2010.19
CC10352,Food & Beverages,2008-2010,4297.51
CC10352,Candidate Fundraiser Tickets,2008-2010,600.00
CC10352,Campaign Headquarters,2008-2010,289.60
CC10352,Office Supplies,2008-2010,575.68
CC10352,"Bank Charges, Merchant Fees & Adjustments",2008-2010,52.00
CC10352,Postage/Mailing,2008-2010,568.80
CC10352,Donations,2008-2010,300.00
CC10352,"Printing, Postage, Mailing & Freight",2008-2010,1368.41
CC10352,"Surveys, Polls, Research & Voter Lists",2008-2010,50.00
CC10352,Other,2008-2010,4403.88
CC10352,"Advertising, Media & Collateral Materials",2008-2010,6402.65
CC10352,Contribution to Political Party,2010-2012,850.00
CC10352,"Printing, Postage, Mailing & Freight",2010-2012,1794.58
CC10352,"Advertising, Media & Collateral Materials",2010-2012,10724.31
CC10352,Postage/Mailing,2010-2012,4307.09
CC10352,Other,2010-2012,4752.70
CC10352,Campaign Headquarters,2010-2012,650.00
CC10352,Office Supplies,2010-2012,718.57
CC10352,"Bank Charges, Merchant Fees & Adjustments",2010-2012,17.25
CC10352,Food & Beverages,2010-2012,5143.06
CC10352,Candidate Fundraiser Tickets,2010-2012,341.14
CC10352,Donations,2010-2012,100.00
CC10352,"Printing, Postage, Mailing & Freight",2012-2014,8663.88
CC10352,Other,2012-2014,6095.26
CC10352,Travel & Lodging,2012-2014,1022.00
CC10352,Food & Beverages,2012-2014,4321.65
CC10352,"Bank Charges, Merchant Fees & Adjustments",2012-2014,59.65
CC10352,Office Supplies,2012-2014,143.45
CC10352,Postage/Mailing,2012-2014,5712.99
CC10352,Durable Assets (Supplies/Equipment),2012-2014,1160.91
CC10352,Donations,2012-2014,930.00
CC10352,"Advertising, Media & Collateral Materials",2012-2014,5020.03
CC10352,Contribution to Political Party,2012-2014,650.00
CC10352,"Surveys, Polls, Research & Voter Lists",2012-2014,262.55
CC10352,Hawaii Election Campaign Fund,2012-2014,1100.00
CC10352,Candidate Fundraiser Tickets,2012-2014,5550.00
CC10352,"Bank Charges, Merchant Fees & Adjustments",2014-2016,31.50
CC10352,"Contract, Employee & Professional Services",2014-2016,1559.98
CC10352,Other,2014-2016,3981.07
CC10352,Donations,2014-2016,2325.94
CC10352,"Printing, Postage, Mailing & Freight",2014-2016,3649.78
CC10352,Candidate Fundraiser Tickets,2014-2016,20.00
CC10352,Contribution to Political Party,2014-2016,775.00
CC10352,Travel & Lodging,2014-2016,5984.50
CC10352,Membership & Subscription Fees,2014-2016,50.00
CC10352,Office Supplies,2014-2016,252.89
CC10352,Food & Beverages,2014-2016,4321.69
CC10352,Hawaii Election Campaign Fund,2014-2016,385.00
CC10352,Postage/Mailing,2014-2016,3278.00
CC10352,"Advertising, Media & Collateral Materials",2014-2016,7456.14
CC10352,Hawaii Election Campaign Fund,2016-2018,800.00
CC10352,Travel & Lodging,2016-2018,11919.18
CC10352,Donations,2016-2018,1317.37
CC10352,"Advertising, Media & Collateral Materials",2016-2018,4585.28
CC10352,Candidate Fundraiser Tickets,2016-2018,130.89
CC10352,"Printing, Postage, Mailing & Freight",2016-2018,5659.33
CC10352,Membership & Subscription Fees,2016-2018,600.00
CC10352,Postage/Mailing,2016-2018,5779.01
CC10352,Contribution to Political Party,2016-2018,150.00
CC10352,Food & Beverages,2016-2018,4494.89
CC10352,"Filing Fee, Escheat, Fine",2016-2018,250.00
CC10352,Other,2016-2018,9269.21
CC10352,Office Supplies,2016-2018,402.89
CC10352,Membership & Subscription Fees,2018-2020,479.00
CC10352,Other,2018-2020,107.66
CC10352,"Advertising, Media & Collateral Materials",2018-2020,14960.60
CC10352,Food & Beverages,2018-2020,5359.45
CC10352,Contribution to Political Party,2018-2020,2200.00
CC10352,Travel & Lodging,2018-2020,3831.12
CC10352,"Printing, Postage, Mailing & Freight",2018-2020,12963.17
CC10352,Office Supplies,2018-2020,647.67
CC10352,Candidate Fundraiser Tickets,2018-2020,3250.00
CC10352,"Contract, Employee & Professional Services",2018-2020,314.14
CC10352,Durable Assets (Supplies/Equipment),2018-2020,3327.75
CC10352,Donations,2018-2020,3213.00
CC10352,"Filing Fee, Escheat, Fine",2018-2020,250.00
CC10352,Postage/Mailing,2018-2020,5119.58
CC10352,"Bank Charges, Merchant Fees & Adjustments",2018-2020,139.64
CC10352,Office Supplies,2020-2022,349.98
CC10352,"Bank Charges, Merchant Fees & Adjustments",2020-2022,33.53
CC10352,"Advertising, Media & Collateral Materials",2020-2022,490.65
CC10352,"Printing, Postage, Mailing & Freight",2020-2022,1000.46
CC10352,Food & Beverages,2020-2022,37.70
CC10353,"Bank Charges, Merchant Fees & Adjustments",2006-2008,93.65
CC10353,"Surveys, Polls, Research & Voter Lists",2006-2008,555.50
CC10353,Other,2006-2008,190.01
CC10353,Food & Beverages,2006-2008,1345.46
CC10353,Office Supplies,2006-2008,745.33
CC10353,"Advertising, Media & Collateral Materials",2006-2008,3479.01
CC10353,"Contract, Employee & Professional Services",2006-2008,16.19
CC10353,Postage/Mailing,2006-2008,11618.52
CC10353,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10353,"Printing, Postage, Mailing & Freight",2006-2008,9778.90
CC10353,"Printing, Postage, Mailing & Freight",2008-2010,227.08
CC10353,Candidate Fundraiser Tickets,2008-2010,74.93
CC10353,Food & Beverages,2008-2010,2606.30
CC10353,Office Supplies,2008-2010,27.84
CC10353,"Surveys, Polls, Research & Voter Lists",2008-2010,795.00
CC10353,Postage/Mailing,2008-2010,3477.82
CC10353,"Contract, Employee & Professional Services",2008-2010,4.17
CC10353,"Advertising, Media & Collateral Materials",2008-2010,10588.62
CC10353,"Bank Charges, Merchant Fees & Adjustments",2008-2010,102.00
CC10353,Other,2008-2010,236.20
CC10353,"Contract, Employee & Professional Services",2010-2012,966.01
CC10353,Food & Beverages,2010-2012,6550.55
CC10353,"Printing, Postage, Mailing & Freight",2010-2012,3865.32
CC10353,Contribution to Political Party,2010-2012,200.00
CC10353,"Filing Fee, Escheat, Fine",2010-2012,150.00
CC10353,Postage/Mailing,2010-2012,13062.67
CC10353,"Surveys, Polls, Research & Voter Lists",2010-2012,576.49
CC10353,Other,2010-2012,713.74
CC10353,Donations,2010-2012,50.00
CC10353,"Advertising, Media & Collateral Materials",2010-2012,10985.58
CC10353,Office Supplies,2012-2014,35.74
CC10353,Postage/Mailing,2012-2014,1680.00
CC10353,"Printing, Postage, Mailing & Freight",2012-2014,6156.06
CC10353,Donations,2012-2014,50.00
CC10353,Food & Beverages,2012-2014,2964.60
CC10353,"Contract, Employee & Professional Services",2012-2014,512.14
CC10353,Campaign Headquarters,2012-2014,323.34
CC10353,"Filing Fee, Escheat, Fine",2012-2014,240.63
CC10353,Other,2012-2014,631.98
CC10353,"Advertising, Media & Collateral Materials",2012-2014,10446.68
CC10353,Contribution to Political Party,2014-2016,100.00
CC10353,Hawaii Election Campaign Fund,2014-2016,300.00
CC10353,Food & Beverages,2014-2016,3377.18
CC10353,"Contract, Employee & Professional Services",2014-2016,20.83
CC10353,Other,2014-2016,1519.44
CC10353,"Filing Fee, Escheat, Fine",2014-2016,251.04
CC10353,Candidate Fundraiser Tickets,2014-2016,275.00
CC10353,Donations,2014-2016,1090.00
CC10353,Office Supplies,2014-2016,98.88
CC10353,"Printing, Postage, Mailing & Freight",2014-2016,2390.77
CC10353,Postage/Mailing,2014-2016,6671.28
CC10353,"Advertising, Media & Collateral Materials",2014-2016,13481.99
CC10353,"Surveys, Polls, Research & Voter Lists",2016-2018,395.46
CC10353,Candidate Fundraiser Tickets,2016-2018,170.00
CC10353,Postage/Mailing,2016-2018,4924.99
CC10353,Office Supplies,2016-2018,2.38
CC10353,Donations,2016-2018,687.63
CC10353,"Contract, Employee & Professional Services",2016-2018,4958.62
CC10353,"Advertising, Media & Collateral Materials",2016-2018,11679.49
CC10353,Food & Beverages,2016-2018,3451.45
CC10353,Other,2016-2018,379.38
CC10353,"Printing, Postage, Mailing & Freight",2016-2018,3336.65
CC10353,Hawaii Election Campaign Fund,2016-2018,550.00
CC10353,Donations,2018-2020,1034.69
CC10353,"Printing, Postage, Mailing & Freight",2018-2020,2142.35
CC10353,"Advertising, Media & Collateral Materials",2018-2020,11879.24
CC10353,Food & Beverages,2018-2020,2290.57
CC10353,Hawaii Election Campaign Fund,2018-2020,850.00
CC10353,Food & Beverages,2020-2022,363.67
CC10353,"Filing Fee, Escheat, Fine",2020-2022,500.00
CC10353,"Printing, Postage, Mailing & Freight",2020-2022,0.70
CC10353,"Advertising, Media & Collateral Materials",2020-2022,2177.80
CC10353,Employee/Volunteer Gifts,2020-2022,594.14
CC10354,Taxes & Insurance,2006-2008,93.08
CC10354,Donations,2006-2008,75.00
CC10354,"Bank Charges, Merchant Fees & Adjustments",2006-2008,11.25
CC10354,"Printing, Postage, Mailing & Freight",2006-2008,85.05
CC10354,Food & Beverages,2006-2008,125.47
CC10354,"Advertising, Media & Collateral Materials",2006-2008,1062.94
CC10354,Postage/Mailing,2006-2008,41.00
CC10354,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10354,"Advertising, Media & Collateral Materials",2008-2010,664.97
CC10354,Other,2008-2010,350.00
CC10354,"Filing Fee, Escheat, Fine",2008-2010,250.00
CC10354,Food & Beverages,2008-2010,53.49
CC10354,Taxes & Insurance,2008-2010,4.68
CC10354,Food & Beverages,2010-2012,552.65
CC10354,Other,2012-2014,2000.00
CC10354,"Bank Charges, Merchant Fees & Adjustments",2012-2014,0.02
CC10354,Donations,2012-2014,2679.90
CC10354,Hawaii Election Campaign Fund,2012-2014,0.37
CC10356,"Bank Charges, Merchant Fees & Adjustments",2006-2008,70.25
CC10356,Food & Beverages,2006-2008,2870.46
CC10356,Campaign Headquarters,2006-2008,500.00
CC10356,Office Supplies,2006-2008,168.66
CC10356,Insurance,2006-2008,312.87
CC10356,"Printing, Postage, Mailing & Freight",2006-2008,287.50
CC10356,Postage/Mailing,2006-2008,405.00
CC10356,Candidate Fundraiser Tickets,2006-2008,75.00
CC10356,Other,2006-2008,1329.85
CC10356,"Advertising, Media & Collateral Materials",2006-2008,12841.72
CC10356,"Contract, Employee & Professional Services",2006-2008,1361.88
CC10356,Travel & Lodging,2006-2008,120.00
CC10356,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10357,"Printing, Postage, Mailing & Freight",2006-2008,20979.09
CC10357,Postage/Mailing,2006-2008,72.00
CC10357,Food & Beverages,2006-2008,5502.41
CC10357,Office Supplies,2006-2008,2645.04
CC10357,"Advertising, Media & Collateral Materials",2006-2008,4075.34
CC10357,"Vehicle, Gas & Parking",2006-2008,9.50
CC10357,"Bank Charges, Merchant Fees & Adjustments",2006-2008,26.00
CC10357,Other,2006-2008,1774.59
CC10357,"Contract, Employee & Professional Services",2006-2008,2161.65
CC10357,"Contract, Employee & Professional Services",2008-2010,257.09
CC10357,"Bank Charges, Merchant Fees & Adjustments",2008-2010,2.00
CC10358,Postage/Mailing,2006-2008,12289.02
CC10358,"Printing, Postage, Mailing & Freight",2006-2008,10729.98
CC10358,"Contract, Employee & Professional Services",2006-2008,132.36
CC10358,Campaign Headquarters,2006-2008,59.00
CC10358,Other,2006-2008,7490.71
CC10358,Utilities,2006-2008,287.13
CC10358,"Surveys, Polls, Research & Voter Lists",2006-2008,636.76
CC10358,"Bank Charges, Merchant Fees & Adjustments",2006-2008,37.75
CC10358,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10358,Travel & Lodging,2006-2008,21.00
CC10358,Contribution to Political Party,2006-2008,80.00
CC10358,"Advertising, Media & Collateral Materials",2006-2008,476.02
CC10358,Food & Beverages,2006-2008,1596.07
CC10358,Office Supplies,2006-2008,166.88
CC10358,Food & Beverages,2008-2010,8036.95
CC10358,"Vehicle, Gas & Parking",2008-2010,0.75
CC10358,"Printing, Postage, Mailing & Freight",2008-2010,18602.36
CC10358,"Advertising, Media & Collateral Materials",2008-2010,445.36
CC10358,Other,2008-2010,3407.56
CC10358,Postage/Mailing,2008-2010,9946.20
CC10358,Office Supplies,2008-2010,257.47
CC10358,Contribution to Political Party,2008-2010,500.00
CC10358,Campaign Headquarters,2008-2010,281.01
CC10358,"Contract, Employee & Professional Services",2008-2010,227.60
CC10358,"Filing Fee, Escheat, Fine",2008-2010,250.00
CC10358,"Surveys, Polls, Research & Voter Lists",2008-2010,300.00
CC10358,"Advertising, Media & Collateral Materials",2010-2012,4057.52
CC10358,Other,2010-2012,13404.24
CC10358,"Bank Charges, Merchant Fees & Adjustments",2010-2012,45.00
CC10358,"Printing, Postage, Mailing & Freight",2010-2012,17921.27
CC10358,Postage/Mailing,2010-2012,23106.31
CC10358,"Surveys, Polls, Research & Voter Lists",2010-2012,523.56
CC10358,Office Supplies,2010-2012,1349.23
CC10358,"Contract, Employee & Professional Services",2010-2012,503.05
CC10358,Food & Beverages,2010-2012,5854.96
CC10358,"Filing Fee, Escheat, Fine",2010-2012,250.00
CC10358,Campaign Headquarters,2010-2012,361.00
CC10358,"Bank Charges, Merchant Fees & Adjustments",2012-2014,210.00
CC10358,Other,2012-2014,73.74
CC10358,"Printing, Postage, Mailing & Freight",2012-2014,55.49
CC10358,Postage/Mailing,2012-2014,198.00
CC10358,Food & Beverages,2012-2014,2813.23
CC10358,"Bank Charges, Merchant Fees & Adjustments",2014-2016,45.00
CC10358,"Printing, Postage, Mailing & Freight",2016-2018,18173.82
CC10358,"Contract, Employee & Professional Services",2016-2018,600.00
CC10358,Candidate Fundraiser Tickets,2016-2018,11.68
CC10358,"Filing Fee, Escheat, Fine",2016-2018,250.00
CC10358,Other,2016-2018,165.93
CC10358,"Surveys, Polls, Research & Voter Lists",2016-2018,293.85
CC10358,"Advertising, Media & Collateral Materials",2016-2018,17684.50
CC10358,Food & Beverages,2016-2018,1449.95
CC10358,Postage/Mailing,2016-2018,6896.77
CC10358,Office Supplies,2016-2018,350.29
CC10359,Contribution to Political Party,2006-2008,100.00
CC10359,"Surveys, Polls, Research & Voter Lists",2006-2008,200.04
CC10359,Food & Beverages,2006-2008,717.01
CC10359,Other,2006-2008,115.31
CC10359,Postage/Mailing,2006-2008,4288.36
CC10359,"Filing Fee, Escheat, Fine",2006-2008,25.00
CC10359,"Advertising, Media & Collateral Materials",2006-2008,10331.82
CC10359,"Contract, Employee & Professional Services",2006-2008,1165.75
CC10359,"Printing, Postage, Mailing & Freight",2006-2008,5896.09
CC10359,"Bank Charges, Merchant Fees & Adjustments",2006-2008,11.23
CC10359,Office Supplies,2006-2008,15.49
CC10359,"Contract, Employee & Professional Services",2008-2010,581.25
CC10359,Postage/Mailing,2008-2010,1040.00
CC10359,Donations,2008-2010,400.00
CC10359,"Printing, Postage, Mailing & Freight",2008-2010,1010.86
CC10359,Hawaii Election Campaign Fund,2008-2010,50.00
CC10359,Food & Beverages,2008-2010,2665.90
CC10359,"Filing Fee, Escheat, Fine",2008-2010,250.00
CC10359,"Advertising, Media & Collateral Materials",2008-2010,19000.63
CC10359,"Surveys, Polls, Research & Voter Lists",2008-2010,300.00
CC10359,Candidate Fundraiser Tickets,2008-2010,24.98
CC10359,"Bank Charges, Merchant Fees & Adjustments",2008-2010,28.94
CC10359,Contribution to Political Party,2008-2010,200.00
CC10359,Other,2008-2010,430.15
CC10359,Office Supplies,2008-2010,1484.65
CC10359,"Printing, Postage, Mailing & Freight",2010-2012,772.54
CC10359,Food & Beverages,2010-2012,2025.72
CC10359,Contribution to Political Party,2010-2012,600.00
CC10359,"Bank Charges, Merchant Fees & Adjustments",2010-2012,36.37
CC10359,Office Supplies,2010-2012,279.96
CC10359,Postage/Mailing,2010-2012,180.00
CC10359,"Advertising, Media & Collateral Materials",2010-2012,27817.37
CC10359,Donations,2010-2012,700.00
CC10359,"Surveys, Polls, Research & Voter Lists",2010-2012,650.00
CC10359,Other,2010-2012,305.00
CC10359,"Contract, Employee & Professional Services",2010-2012,1644.66
CC10359,"Filing Fee, Escheat, Fine",2010-2012,25.00
CC10359,"Printing, Postage, Mailing & Freight",2012-2014,35.08
CC10359,Postage/Mailing,2012-2014,99.00
CC10359,Food & Beverages,2012-2014,686.30
CC10359,Other,2012-2014,7.67
CC10359,"Advertising, Media & Collateral Materials",2012-2014,1283.26
CC10359,"Contract, Employee & Professional Services",2012-2014,342.05
CC10359,Hawaii Election Campaign Fund,2012-2014,200.00
CC10359,"Bank Charges, Merchant Fees & Adjustments",2012-2014,52.70
CC10359,Donations,2012-2014,1722.62
CC10359,Contribution to Political Party,2012-2014,800.00
CC10359,Candidate Fundraiser Tickets,2012-2014,2000.00
CC10359,"Filing Fee, Escheat, Fine",2012-2014,225.00
CC10361,Postage/Mailing,2006-2008,463.05
CC10361,Other,2006-2008,499.65
CC10361,"Contract, Employee & Professional Services",2006-2008,300.00
CC10361,Candidate Fundraiser Tickets,2006-2008,73.30
CC10361,"Advertising, Media & Collateral Materials",2006-2008,15958.19
CC10361,Food & Beverages,2006-2008,485.15
CC10361,"Printing, Postage, Mailing & Freight",2006-2008,2531.40
CC10361,"Printing, Postage, Mailing & Freight",2008-2010,4783.00
CC10361,"Printing, Postage, Mailing & Freight",2010-2012,3015.59
CC10361,"Advertising, Media & Collateral Materials",2010-2012,8872.51
CC10361,Donations,2010-2012,160.00
CC10361,"Bank Charges, Merchant Fees & Adjustments",2010-2012,18.00
CC10363,"Bank Charges, Merchant Fees & Adjustments",2006-2008,13.15
CC10363,"Advertising, Media & Collateral Materials",2006-2008,6311.30
CC10363,"Printing, Postage, Mailing & Freight",2006-2008,266.25
CC10363,Postage/Mailing,2006-2008,1058.40
CC10363,Food & Beverages,2006-2008,2825.59
CC10363,Office Supplies,2006-2008,382.51
CC10363,Campaign Headquarters,2006-2008,820.62
CC10363,Other,2006-2008,10607.09
CC10363,"Bank Charges, Merchant Fees & Adjustments",2008-2010,28.00
CC10363,Postage/Mailing,2008-2010,44.00
CC10363,"Advertising, Media & Collateral Materials",2008-2010,3299.55
CC10363,Campaign Headquarters,2008-2010,25.00
CC10363,Other,2008-2010,894.71
CC10363,Other,2010-2012,301.09
CC10363,Office Supplies,2010-2012,11.00
CC10363,"Printing, Postage, Mailing & Freight",2010-2012,147.00
CC10363,Postage/Mailing,2010-2012,18.00
CC10363,"Advertising, Media & Collateral Materials",2010-2012,11019.81
CC10363,Campaign Headquarters,2010-2012,34.00
CC10363,Donations,2012-2014,62.63
CC10363,"Bank Charges, Merchant Fees & Adjustments",2012-2014,10.00
CC10365,"Vehicle, Gas & Parking",2004-2008,40.00
CC10365,Food & Beverages,2004-2008,535.80
CC10365,Travel & Lodging,2004-2008,110.12
CC10365,Office Supplies,2004-2008,205.11
CC10365,Durable Assets (Supplies/Equipment),2004-2008,119.76
CC10365,"Printing, Postage, Mailing & Freight",2004-2008,292.54
CC10365,Other,2004-2008,506.67
CC10365,"Contract, Employee & Professional Services",2004-2008,535.00
CC10365,Postage/Mailing,2004-2008,28.20
CC10365,"Bank Charges, Merchant Fees & Adjustments",2004-2008,29.25
CC10365,"Advertising, Media & Collateral Materials",2004-2008,502.82
CC10365,"Surveys, Polls, Research & Voter Lists",2004-2008,13.00
CC10366,Donations,2006-2008,100.00
CC10366,Postage/Mailing,2006-2008,154.00
CC10366,"Vehicle, Gas & Parking",2006-2008,1080.99
CC10366,"Bank Charges, Merchant Fees & Adjustments",2006-2008,284.30
CC10366,Travel & Lodging,2006-2008,1394.82
CC10366,"Printing, Postage, Mailing & Freight",2006-2008,50.53
CC10366,"Advertising, Media & Collateral Materials",2006-2008,1792.92
CC10366,Other,2006-2008,486.90
CC10366,Office Supplies,2006-2008,108.65
CC10366,Food & Beverages,2006-2008,1311.37
CC10366,"Bank Charges, Merchant Fees & Adjustments",2008-2010,6.56
CC10366,Hawaii Election Campaign Fund,2008-2010,4971.00
CC10367,Hawaii Election Campaign Fund,2006-2008,25.00
CC10367,"Surveys, Polls, Research & Voter Lists",2006-2008,25.00
CC10367,Travel & Lodging,2006-2008,1157.76
CC10367,Contribution to Political Party,2006-2008,245.00
CC10367,Donations,2006-2008,466.00
CC10367,Utilities,2006-2008,314.29
CC10367,"Contract, Employee & Professional Services",2006-2008,3881.35
CC10367,"Bank Charges, Merchant Fees & Adjustments",2006-2008,279.39
CC10367,"Advertising, Media & Collateral Materials",2006-2008,17717.72
CC10367,Postage/Mailing,2006-2008,122.69
CC10367,Other,2006-2008,1245.92
CC10367,Employee Services,2006-2008,5533.80
CC10367,Office Supplies,2006-2008,946.46
CC10367,Food & Beverages,2006-2008,1084.03
CC10367,Campaign Headquarters,2006-2008,1630.00
CC10367,Donations,2008-2010,305.00
CC10367,Other,2008-2010,171.81
CC10367,"Advertising, Media & Collateral Materials",2008-2010,4618.89
CC10367,Office Supplies,2008-2010,58.90
CC10367,Contribution to Political Party,2008-2010,142.00
CC10367,Postage/Mailing,2008-2010,1377.12
CC10367,Office Supplies,2010-2012,268.03
CC10367,"Surveys, Polls, Research & Voter Lists",2010-2012,316.00
CC10367,"Printing, Postage, Mailing & Freight",2010-2012,950.96
CC10367,Travel & Lodging,2010-2012,38.49
CC10367,"Advertising, Media & Collateral Materials",2010-2012,909.70
CC10367,"Surveys, Polls, Research & Voter Lists",2012-2014,158.00
CC10367,Postage/Mailing,2012-2014,2031.22
CC10367,"Printing, Postage, Mailing & Freight",2012-2014,30.00
CC10367,"Bank Charges, Merchant Fees & Adjustments",2012-2014,16.55
CC10367,"Advertising, Media & Collateral Materials",2012-2014,751.86
CC10367,Donations,2014-2016,0.01
CC10368,Candidate Fundraiser Tickets,2006-2008,50.00
CC10368,Office Supplies,2006-2008,595.69
CC10368,"Filing Fee, Escheat, Fine",2006-2008,250.00
CC10368,Travel & Lodging,2006-2008,1110.96
CC10368,"Bank Charges, Merchant Fees & Adjustments",2006-2008,20.25
CC10368,Other,2006-2008,3032.34
CC10368,Postage/Mailing,2006-2008,628.00
CC10368,"Contract, Employee & Professional Services",2006-2008,8557.50
CC10368,"Advertising, Media & Collateral Materials",2006-2008,63012.13
CC10368,"Printing, Postage, Mailing & Freight",2006-2008,1944.33
CC10368,Food & Beverages,2006-2008,5745.01
CC10368,Campaign Headquarters,2006-2008,2000.00
CC10368,"Vehicle, Gas & Parking",2006-2008,600.00
CC10368,"Contract, Employee & Professional Services",2008-2010,3997.54
CC10368,Travel & Lodging,2008-2010,374.20
CC10368,Other,2008-2010,3818.25
CC10368,"Filing Fee, Escheat, Fine",2008-2010,250.00
CC10368,Office Supplies,2008-2010,448.30
CC10368,"Bank Charges, Merchant Fees & Adjustments",2008-2010,100.52
CC10368,Campaign Headquarters,2008-2010,2000.00
CC10368,Food & Beverages,2008-2010,7530.44
CC10368,"Advertising, Media & Collateral Materials",2008-2010,13337.30
CC10368,Durable Assets (Supplies/Equipment),2010-2012,294.32
CC10368,"Surveys, Polls, Research & Voter Lists",2010-2012,50.00
CC10368,"Advertising, Media & Collateral Materials",2010-2012,26897.05
CC10368,Travel & Lodging,2010-2012,2051.16
CC10368,Campaign Headquarters,2010-2012,1800.00
CC10368,"Filing Fee, Escheat, Fine",2010-2012,250.00
CC10368,Donations,2010-2012,2349.87
CC10368,"Bank Charges, Merchant Fees & Adjustments",2010-2012,125.10
CC10368,Hawaii Election Campaign Fund,2010-2012,108.25
CC10368,Office Supplies,2010-2012,382.41
CC10368,Food & Beverages,2010-2012,20684.16
CC10368,"Printing, Postage, Mailing & Freight",2010-2012,374.87
CC10368,Candidate Fundraiser Tickets,2010-2012,150.00
CC10368,"Contract, Employee & Professional Services",2010-2012,4081.26
CC10368,"Vehicle, Gas & Parking",2010-2012,226.79
CC10368,Other,2010-2012,5200.48
CC10368,Postage/Mailing,2010-2012,179.00
CC10368,"Contract, Employee & Professional Services",2012-2014,1385.83
CC10368,Postage/Mailing,2012-2014,98.00
CC10368,"Bank Charges, Merchant Fees & Adjustments",2012-2014,547.77
CC10368,"Advertising, Media & Collateral Materials",2012-2014,13189.96
CC10368,"Printing, Postage, Mailing & Freight",2012-2014,695.70
CC10368,Other,2012-2014,7886.69
CC10368,Donations,2012-2014,930.00
CC10368,Travel & Lodging,2012-2014,856.95
CC10368,Office Supplies,2012-2014,132.27
CC10368,Campaign Headquarters,2012-2014,1350.00
CC10368,Food & Beverages,2012-2014,24067.70
CC10368,Candidate Fundraiser Tickets,2012-2014,420.00
CC10368,Hawaii Election Campaign Fund,2012-2014,625.00
CC10368,Durable Assets (Supplies/Equipment),2012-2014,783.32
CC10368,"Surveys, Polls, Research & Voter Lists",2012-2014,50.00
CC10368,"Filing Fee, Escheat, Fine",2012-2014,250.00
CC10368,Campaign Headquarters,2014-2016,3593.06
CC10368,Travel & Lodging,2014-2016,1926.89
CC10368,"Filing Fee, Escheat, Fine",2014-2016,291.65
CC10368,Food & Beverages,2014-2016,17143.51
CC10368,"Advertising, Media & Collateral Materials",2014-2016,37919.95
CC10368,"Bank Charges, Merchant Fees & Adjustments",2014-2016,615.79
CC10368,Postage/Mailing,2014-2016,43.80
CC10368,Office Supplies,2014-2016,699.00
CC10368,Candidate Fundraiser Tickets,2014-2016,400.00
CC10368,"Contract, Employee & Professional Services",2014-2016,5448.95
CC10368,Other,2014-2016,5469.67
CC10368,Hawaii Election Campaign Fund,2016-2018,25.00
CC10368,Durable Assets (Supplies/Equipment),2016-2018,525.82
CC10368,Campaign Headquarters,2016-2018,2150.00
CC10368,"Advertising, Media & Collateral Materials",2016-2018,19537.87
CC10368,Travel & Lodging,2016-2018,191.62
CC10368,Office Supplies,2016-2018,998.59
CC10368,Donations,2016-2018,650.00
CC10368,Food & Beverages,2016-2018,5634.99
