expenditure_category,election_period,amount,reg_no,id
Lease/Rent,2012-2014,486.00,CC10241,2664
Printing,2012-2014,430.36,CC10241,2665
Candidate Fundraiser Tickets,2006-2008,703.15,CC10241,2666
Filing Fee,2010-2012,250.00,CC10241,2667
Other,2008-2010,11940.78,CC10241,2668
"Surveys, Polls & Voter Lists",2008-2010,608.94,CC10241,2669
Food & Beverages,2010-2012,12274.77,CC10241,2670
Food & Beverages,2012-2014,1353.25,CC10241,2671
Candidate Fundraiser Tickets,2010-2012,4484.81,CC10241,2672
Food & Beverages,2008-2010,13968.07,CC10241,2673
Advertising,2012-2014,850.00,CC10241,2674
Printing,2008-2010,6201.15,CC10242,2675
Lease/Rent,2006-2008,700.00,CC10242,2676
Filing Fee,2010-2012,250.00,CC10242,2677
Printing,2006-2008,11183.99,CC10242,2678
Office Supplies,2010-2012,559.07,CC10242,2679
Postage/Mailing,2010-2012,1869.91,CC10242,2680
Printing,2010-2012,8816.97,CC10242,2681
Filing Fee,2008-2010,250.00,CC10242,2682
Postage/Mailing,2006-2008,8785.09,CC10242,2683
Food & Beverages,2008-2010,1713.21,CC10242,2684
Professional Services,2010-2012,1519.24,CC10242,2685
Advertising,2006-2008,1531.94,CC10242,2686
Postage/Mailing,2008-2010,2299.66,CC10242,2687
Professional Services,2006-2008,7863.03,CC10242,2688
Food & Beverages,2006-2008,1538.09,CC10242,2689
Other,2006-2008,1396.84,CC10242,2690
Advertising,2010-2012,518.32,CC10242,2691
Food & Beverages,2010-2012,3363.32,CC10242,2692
Filing Fee,2006-2008,250.00,CC10242,2693
"Surveys, Polls & Voter Lists",2006-2008,396.37,CC10242,2694
Lease/Rent,2010-2012,242.30,CC10242,2695
Postage/Mailing,2012-2014,198.00,CC10243,2696
Other,2006-2008,757.85,CC10243,2697
Other,2008-2010,1170.70,CC10243,2698
Candidate Fundraiser Tickets,2010-2012,1150.00,CC10243,2699
Postage/Mailing,2006-2008,19155.95,CC10243,2700
Printing,2010-2012,14824.75,CC10243,2701
Food & Beverages,2010-2012,7746.56,CC10243,2702
Bank Charges & Adjustments,2010-2012,166.85,CC10243,2703
Vehicle,2008-2010,170.47,CC10243,2704
Contribution to Political Party,2012-2014,50.00,CC10243,2705
Lease/Rent,2006-2008,120.00,CC10243,2706
Professional Services,2006-2008,1292.67,CC10243,2707
Other,2010-2012,1233.84,CC10243,2708
Printing,2006-2008,17083.44,CC10243,2709
Utilities,2006-2008,1490.48,CC10243,2710
Utilities,2010-2012,4134.82,CC10243,2711
Durable Assets,2008-2010,600.00,CC10243,2712
Office Supplies,2008-2010,1243.00,CC10243,2713
Office Supplies,2006-2008,775.66,CC10243,2714
Food & Beverages,2012-2014,2377.76,CC10243,2715
Hawaii Election Campaign Fund,2006-2008,50.00,CC10243,2716
Other,2012-2014,1464.13,CC10243,2717
Professional Services,2008-2010,8908.87,CC10243,2718
Food & Beverages,2008-2010,8497.97,CC10243,2719
Vehicle,2010-2012,219.60,CC10243,2720
Bank Charges & Adjustments,2008-2010,25.00,CC10243,2721
Bank Charges & Adjustments,2012-2014,84.98,CC10243,2722
Office Supplies,2012-2014,198.14,CC10243,2723
Postage/Mailing,2008-2010,5908.32,CC10243,2724
Printing,2008-2010,15788.03,CC10243,2725
Printing,2012-2014,338.21,CC10243,2726
Lease/Rent,2008-2010,270.23,CC10243,2727
Lease/Rent,2010-2012,1276.46,CC10243,2728
Filing Fee,2008-2010,250.00,CC10243,2729
"Surveys, Polls & Voter Lists",2008-2010,10.00,CC10243,2730
Filing Fee,2006-2008,250.00,CC10243,2731
Advertising,2006-2008,3117.02,CC10243,2732
Advertising,2010-2012,173.53,CC10243,2733
Advertising,2008-2010,229.65,CC10243,2734
Utilities,2008-2010,1791.33,CC10243,2735
Office Supplies,2010-2012,958.40,CC10243,2736
Postage/Mailing,2010-2012,4689.43,CC10243,2737
Utilities,2012-2014,1099.88,CC10243,2738
Food & Beverages,2006-2008,6711.67,CC10243,2739
Professional Services,2008-2010,98.17,CC10244,2740
Advertising,2006-2008,549.74,CC10244,2741
Office Supplies,2006-2008,128.20,CC10244,2742
Food & Beverages,2006-2008,1205.35,CC10244,2743
Postage/Mailing,2006-2008,12246.24,CC10244,2744
"Surveys, Polls & Voter Lists",2006-2008,197.36,CC10244,2745
Printing,2006-2008,11292.75,CC10244,2746
Travel & Lodging,2006-2008,185.00,CC10244,2747
Professional Services,2012-2014,99.22,CC10244,2748
Professional Services,2006-2008,3945.43,CC10244,2749
Bank Charges & Adjustments,2006-2008,148.88,CC10244,2750
Professional Services,2010-2012,117.05,CC10244,2751
Other,2006-2008,10132.59,CC10244,2752
Advertising,2008-2010,18888.32,CC10245,2753
Lease/Rent,2008-2010,381.00,CC10245,2754
Food & Beverages,2008-2010,185.29,CC10245,2755
Vehicle,2008-2010,59.94,CC10245,2756
Postage/Mailing,2008-2010,103.84,CC10245,2757
Printing,2008-2010,1551.31,CC10245,2758
Professional Services,2006-2008,68.75,CC10246,2759
Durable Assets,2006-2008,251.27,CC10246,2760
Other,2010-2012,133.30,CC10246,2761
Travel & Lodging,2008-2010,1411.74,CC10246,2762
Other,2008-2010,650.43,CC10246,2763
Lease/Rent,2008-2010,808.22,CC10246,2764
Filing Fee,2008-2010,250.00,CC10246,2765
Contribution to Community Organization,2008-2010,810.00,CC10246,2766
Filing Fee,2006-2008,250.00,CC10246,2767
Postage/Mailing,2008-2010,11837.43,CC10246,2768
Bank Charges & Adjustments,2006-2008,38.70,CC10246,2769
"Surveys, Polls & Voter Lists",2010-2012,261.78,CC10246,2770
Contribution to Political Party,2006-2008,280.00,CC10246,2771
Professional Services,2008-2010,150.00,CC10246,2772
Lease/Rent,2010-2012,1298.40,CC10246,2773
Hawaii Election Campaign Fund,2006-2008,50.00,CC10246,2774
Postage/Mailing,2010-2012,4657.25,CC10246,2775
Employee Services,2006-2008,75.00,CC10246,2776
Lease/Rent,2006-2008,400.00,CC10246,2777
Food & Beverages,2012-2014,3789.43,CC10246,2778
Candidate Fundraiser Tickets,2008-2010,579.88,CC10246,2779
Office Supplies,2012-2014,235.78,CC10246,2780
Contribution to Community Organization,2006-2008,730.00,CC10246,2781
Filing Fee,2010-2012,250.00,CC10246,2782
Candidate Fundraiser Tickets,2006-2008,1300.00,CC10246,2783
"Surveys, Polls & Voter Lists",2006-2008,418.85,CC10246,2784
Printing,2006-2008,2727.30,CC10246,2785
Food & Beverages,2008-2010,13384.39,CC10246,2786
Bank Charges & Adjustments,2010-2012,41.10,CC10246,2787
Food & Beverages,2006-2008,11335.09,CC10246,2788
Travel & Lodging,2010-2012,955.28,CC10246,2789
Lease/Rent,2012-2014,334.40,CC10246,2790
Postage/Mailing,2012-2014,124.00,CC10246,2791
Contribution to Community Organization,2012-2014,380.00,CC10246,2792
Contribution to Community Organization,2010-2012,100.00,CC10246,2793
Employee Services,2008-2010,300.00,CC10246,2794
Printing,2010-2012,2396.08,CC10246,2795
Durable Assets,2010-2012,667.81,CC10246,2796
"Surveys, Polls & Voter Lists",2008-2010,833.56,CC10246,2797
Postage/Mailing,2006-2008,1742.68,CC10246,2798
Food & Beverages,2010-2012,10414.22,CC10246,2799
Office Supplies,2008-2010,1431.98,CC10246,2800
Hawaii Election Campaign Fund,2008-2010,200.00,CC10246,2801
Printing,2008-2010,15660.71,CC10246,2802
Office Supplies,2006-2008,427.69,CC10246,2803
"Surveys, Polls & Voter Lists",2012-2014,184.73,CC10246,2804
Candidate Fundraiser Tickets,2010-2012,559.45,CC10246,2805
Durable Assets,2008-2010,492.13,CC10246,2806
Advertising,2008-2010,275.00,CC10246,2807
Office Supplies,2010-2012,1339.01,CC10246,2808
Hawaii Election Campaign Fund,2010-2012,257.99,CC10246,2809
Other,2006-2008,153.51,CC10246,2810
Printing,2012-2014,33.76,CC10246,2811
Contribution to Political Party,2008-2010,100.00,CC10246,2812
Advertising,2010-2012,100.00,CC10246,2813
Contribution to Political Party,2012-2014,100.00,CC10246,2814
Printing,2010-2012,1250.42,CC10248,2815
Insurance,2012-2014,289.00,CC10248,2816
Contribution to Community Organization,2012-2014,772.00,CC10248,2817
Other,2012-2014,5951.41,CC10248,2818
Printing,2012-2014,180.06,CC10248,2819
Professional Services,2006-2008,3822.88,CC10248,2820
Candidate Fundraiser Tickets,2008-2010,375.00,CC10248,2821
Postage/Mailing,2006-2008,2028.00,CC10248,2822
Other,2006-2008,14644.98,CC10248,2823
Printing,2008-2010,969.48,CC10248,2824
Postage/Mailing,2008-2010,2384.00,CC10248,2825
Contribution to Political Party,2006-2008,100.00,CC10248,2826
Travel & Lodging,2006-2008,1166.19,CC10248,2827
Office Supplies,2008-2010,657.18,CC10248,2828
Travel & Lodging,2010-2012,701.00,CC10248,2829
Candidate Fundraiser Tickets,2010-2012,1225.00,CC10248,2830
Office Supplies,2012-2014,652.35,CC10248,2831
Printing,2006-2008,3768.07,CC10248,2832
Candidate Fundraiser Tickets,2012-2014,480.00,CC10248,2833
Contribution to Community Organization,2006-2008,1482.09,CC10248,2834
Food & Beverages,2010-2012,20548.64,CC10248,2835
Other,2010-2012,25757.77,CC10248,2836
Filing Fee,2010-2012,50.00,CC10248,2837
Advertising,2010-2012,37277.76,CC10248,2838
Professional Services,2012-2014,2916.65,CC10248,2839
Travel & Lodging,2008-2010,569.20,CC10248,2840
Advertising,2006-2008,11503.86,CC10248,2841
Bank Charges & Adjustments,2010-2012,21.00,CC10248,2842
Contribution to Community Organization,2010-2012,1120.00,CC10248,2843
Lease/Rent,2006-2008,686.35,CC10248,2844
Other,2008-2010,13039.23,CC10248,2845
Contribution to Political Party,2012-2014,125.00,CC10248,2846
Postage/Mailing,2010-2012,3080.00,CC10248,2847
Lease/Rent,2008-2010,900.00,CC10248,2848
Food & Beverages,2012-2014,13112.40,CC10248,2849
Vehicle,2006-2008,224.94,CC10248,2850
Food & Beverages,2006-2008,23248.13,CC10248,2851
Advertising,2012-2014,4222.18,CC10248,2852
Filing Fee,2008-2010,25.00,CC10248,2853
Office Supplies,2010-2012,3152.31,CC10248,2854
Professional Services,2010-2012,4288.48,CC10248,2855
Bank Charges & Adjustments,2006-2008,2.00,CC10248,2856
Office Supplies,2006-2008,743.04,CC10248,2857
Lease/Rent,2010-2012,930.00,CC10248,2858
Advertising,2008-2010,14897.42,CC10248,2859
Food & Beverages,2008-2010,20297.20,CC10248,2860
Postage/Mailing,2012-2014,1380.00,CC10248,2861
Contribution to Community Organization,2008-2010,1202.00,CC10248,2862
Candidate Fundraiser Tickets,2006-2008,815.00,CC10248,2863
Professional Services,2008-2010,2749.98,CC10248,2864
Utilities,2006-2008,1531.37,CC10249,2865
Advertising,2006-2008,1405.65,CC10249,2866
"Surveys, Polls & Voter Lists",2008-2010,300.00,CC10249,2867
Filing Fee,2006-2008,585.24,CC10249,2868
Office Supplies,2012-2014,653.95,CC10249,2869
Contribution to Political Party,2006-2008,150.00,CC10249,2870
Office Supplies,2006-2008,1147.13,CC10249,2871
Utilities,2008-2010,689.60,CC10249,2872
Printing,2006-2008,10877.68,CC10249,2873
Professional Services,2012-2014,235.00,CC10249,2874
Food & Beverages,2006-2008,18892.59,CC10249,2875
Printing,2008-2010,19493.38,CC10249,2876
Lease/Rent,2006-2008,834.00,CC10249,2877
Other,2008-2010,3834.61,CC10249,2878
Candidate Fundraiser Tickets,2006-2008,5300.00,CC10249,2879
Durable Assets,2008-2010,521.47,CC10249,2880
Contribution to Community Organization,2010-2012,1129.44,CC10249,2881
Durable Assets,2010-2012,4093.49,CC10249,2882
Filing Fee,2008-2010,250.00,CC10249,2883
Advertising,2010-2012,6579.85,CC10249,2884
Postage/Mailing,2008-2010,18568.52,CC10249,2885
Contribution to Political Party,2008-2010,5500.00,CC10249,2886
Lease/Rent,2008-2010,599.66,CC10249,2887
Other,2012-2014,1124.34,CC10249,2888
Postage/Mailing,2006-2008,14094.41,CC10249,2889
Candidate Fundraiser Tickets,2008-2010,8000.00,CC10249,2890
Food & Beverages,2012-2014,766.68,CC10249,2891
"Surveys, Polls & Voter Lists",2006-2008,535.56,CC10249,2892
Food & Beverages,2010-2012,21728.64,CC10249,2893
Contribution to Community Organization,2012-2014,2871.83,CC10249,2894
Professional Services,2008-2010,145.55,CC10249,2895
Travel & Lodging,2008-2010,953.46,CC10249,2896
Utilities,2012-2014,71.14,CC10249,2897
Bank Charges & Adjustments,2012-2014,3.93,CC10249,2898
Other,2010-2012,4827.58,CC10249,2899
Lease/Rent,2010-2012,1537.87,CC10249,2900
Advertising,2012-2014,300.00,CC10249,2901
Contribution to Political Party,2010-2012,120.00,CC10249,2902
Candidate Fundraiser Tickets,2012-2014,1600.00,CC10249,2903
Utilities,2010-2012,1084.87,CC10249,2904
Bank Charges & Adjustments,2008-2010,34.30,CC10249,2905
"Surveys, Polls & Voter Lists",2012-2014,20463.74,CC10249,2906
Office Supplies,2008-2010,977.61,CC10249,2907
Advertising,2008-2010,987.96,CC10249,2908
Food & Beverages,2008-2010,12016.49,CC10249,2909
Printing,2012-2014,412.57,CC10249,2910
Postage/Mailing,2010-2012,37420.61,CC10249,2911
Other,2006-2008,4532.15,CC10249,2912
Contribution to Community Organization,2006-2008,1814.40,CC10249,2913
Travel & Lodging,2006-2008,2982.05,CC10249,2914
Contribution to Community Organization,2008-2010,2131.62,CC10249,2915
"Surveys, Polls & Voter Lists",2010-2012,1001.80,CC10249,2916
Bank Charges & Adjustments,2010-2012,66.86,CC10249,2917
Professional Services,2006-2008,1376.36,CC10249,2918
Printing,2010-2012,29333.95,CC10249,2919
Professional Services,2010-2012,201.01,CC10249,2920
Filing Fee,2010-2012,250.00,CC10249,2921
Office Supplies,2010-2012,4262.76,CC10249,2922
Bank Charges & Adjustments,2010-2012,357.93,CC10250,2923
Food & Beverages,2006-2008,9706.82,CC10250,2924
Filing Fee,2010-2012,96.09,CC10250,2925
Bank Charges & Adjustments,2008-2010,133.54,CC10250,2926
Lease/Rent,2008-2010,1720.00,CC10250,2927
Advertising,2006-2008,50389.86,CC10250,2928
Utilities,2008-2010,3009.97,CC10250,2929
Utilities,2006-2008,1326.13,CC10250,2930
Printing,2006-2008,37335.81,CC10250,2931
Postage/Mailing,2006-2008,382.40,CC10250,2932
Professional Services,2008-2010,78.04,CC10250,2933
Bank Charges & Adjustments,2006-2008,490.99,CC10250,2934
Office Supplies,2006-2008,2874.07,CC10250,2935
Other,2008-2010,3535.79,CC10250,2936
Contribution to Community Organization,2006-2008,85.00,CC10250,2937
Printing,2008-2010,2821.56,CC10250,2938
Advertising,2008-2010,11518.94,CC10250,2939
Filing Fee,2006-2008,50.00,CC10250,2940
Food & Beverages,2008-2010,3502.59,CC10250,2941
Other,2006-2008,7340.24,CC10250,2942
Professional Services,2006-2008,1985.03,CC10250,2943
Lease/Rent,2006-2008,4420.00,CC10250,2944
Food & Beverages,2012-2014,6315.14,CC10251,2945
Vehicle,2008-2010,956.32,CC10251,2946
Professional Services,2008-2010,210.00,CC10251,2947
Advertising,2010-2012,17511.62,CC10251,2948
Office Supplies,2008-2010,1681.09,CC10251,2949
Vehicle,2010-2012,4897.83,CC10251,2950
Postage/Mailing,2008-2010,2262.01,CC10251,2951
Vehicle,2006-2008,620.65,CC10251,2952
Durable Assets,2010-2012,3179.62,CC10251,2953
Other,2012-2014,922.12,CC10251,2954
Other,2010-2012,1618.99,CC10251,2955
Professional Services,2012-2014,100.00,CC10251,2956
Advertising,2008-2010,11397.77,CC10251,2957
Utilities,2008-2010,628.99,CC10251,2958
Lease/Rent,2012-2014,3116.96,CC10251,2959
Bank Charges & Adjustments,2012-2014,111.95,CC10251,2960
Food & Beverages,2006-2008,16684.59,CC10251,2961
Other,2008-2010,115.00,CC10251,2962
Advertising,2012-2014,640.00,CC10251,2963
Durable Assets,2008-2010,356.00,CC10251,2964
Bank Charges & Adjustments,2006-2008,108.15,CC10251,2965
Other,2006-2008,3955.06,CC10251,2966
Candidate Fundraiser Tickets,2006-2008,1682.71,CC10251,2967
Printing,2006-2008,806.72,CC10251,2968
Printing,2012-2014,235.93,CC10251,2969
Durable Assets,2006-2008,1597.58,CC10251,2970
Lease/Rent,2010-2012,6036.66,CC10251,2971
Postage/Mailing,2010-2012,18322.75,CC10251,2972
Printing,2010-2012,38129.59,CC10251,2973
Filing Fee,2010-2012,250.00,CC10251,2974
Office Supplies,2012-2014,189.20,CC10251,2975
Contribution to Community Organization,2008-2010,2120.00,CC10251,2976
Professional Services,2006-2008,1062.77,CC10251,2977
Bank Charges & Adjustments,2010-2012,112.77,CC10251,2978
Printing,2008-2010,1154.83,CC10251,2979
Hawaii Election Campaign Fund,2012-2014,25.00,CC10251,2980
Utilities,2006-2008,246.70,CC10251,2981
Food & Beverages,2008-2010,11864.67,CC10251,2982
Office Supplies,2006-2008,479.62,CC10251,2983
"Surveys, Polls & Voter Lists",2010-2012,163.10,CC10251,2984
Food & Beverages,2010-2012,41784.45,CC10251,2985
Office Supplies,2010-2012,1153.50,CC10251,2986
Utilities,2010-2012,276.40,CC10251,2987
Filing Fee,2006-2008,250.00,CC10251,2988
Lease/Rent,2008-2010,5066.30,CC10251,2989
Lease/Rent,2006-2008,5535.01,CC10251,2990
Contribution to Community Organization,2006-2008,172.14,CC10251,2991
Professional Services,2010-2012,5587.99,CC10251,2992
Filing Fee,2008-2010,250.00,CC10251,2993
Contribution to Community Organization,2012-2014,2934.00,CC10251,2994
Advertising,2006-2008,6757.32,CC10251,2995
Travel & Lodging,2010-2012,897.67,CC10251,2996
Contribution to Community Organization,2010-2012,2596.97,CC10251,2997
Bank Charges & Adjustments,2008-2010,497.50,CC10251,2998
Postage/Mailing,2012-2014,45.75,CC10251,2999
Hawaii Election Campaign Fund,2010-2012,225.00,CC10251,3000
Postage/Mailing,2006-2008,1807.00,CC10251,3001
Contribution to Political Party,2010-2012,99.57,CC10252,3002
Office Supplies,2012-2014,97.48,CC10252,3003
Advertising,2006-2008,7749.43,CC10252,3004
Advertising,2008-2010,18136.85,CC10252,3005
Food & Beverages,2012-2014,11697.10,CC10252,3006
Contribution to Community Organization,2010-2012,480.73,CC10252,3007
Food & Beverages,2010-2012,3218.11,CC10252,3008
Other,2008-2010,7945.25,CC10252,3009
Advertising,2012-2014,8179.68,CC10252,3010
Other,2010-2012,4590.34,CC10252,3011
Advertising,2010-2012,12109.37,CC10252,3012
Other,2006-2008,32.26,CC10252,3013
Other,2012-2014,2876.02,CC10252,3014
Bank Charges & Adjustments,2010-2012,6.00,CC10252,3015
Postage/Mailing,2012-2014,220.80,CC10252,3016
Contribution to Community Organization,2006-2008,40.00,CC10252,3017
Candidate Fundraiser Tickets,2012-2014,951.58,CC10252,3018
Contribution to Community Organization,2012-2014,652.85,CC10252,3019
Food & Beverages,2008-2010,5962.56,CC10252,3020
Postage/Mailing,2006-2008,39.00,CC10252,3021
Printing,2008-2010,4806.95,CC10253,3022
Bank Charges & Adjustments,2010-2012,82.95,CC10253,3023
Utilities,2008-2010,88.52,CC10253,3024
Utilities,2006-2008,642.34,CC10253,3025
"Surveys, Polls & Voter Lists",2008-2010,150.00,CC10253,3026
Food & Beverages,2006-2008,1325.46,CC10253,3027
Postage/Mailing,2006-2008,7698.65,CC10253,3028
Bank Charges & Adjustments,2008-2010,144.04,CC10253,3029
Food & Beverages,2010-2012,205.70,CC10253,3030
Travel & Lodging,2008-2010,50.00,CC10253,3031
Office Supplies,2006-2008,54.04,CC10253,3032
Advertising,2008-2010,972.00,CC10253,3033
Bank Charges & Adjustments,2006-2008,24.00,CC10253,3034
Food & Beverages,2008-2010,477.07,CC10253,3035
Other,2006-2008,1483.35,CC10253,3036
Lease/Rent,2006-2008,225.00,CC10253,3037
Printing,2006-2008,3384.45,CC10253,3038
Lease/Rent,2008-2010,320.00,CC10253,3039
Advertising,2006-2008,2500.42,CC10253,3040
Hawaii Election Campaign Fund,2010-2012,200.00,CC10253,3041
Other,2008-2010,294.65,CC10253,3042
Professional Services,2006-2008,352.19,CC10253,3043
Professional Services,2008-2010,421.10,CC10253,3044
Travel & Lodging,2006-2008,125.00,CC10253,3045
Office Supplies,2008-2010,406.11,CC10253,3046
Taxes,2006-2008,4442.79,CC10254,3047
Professional Services,2012-2014,15859.70,CC10254,3048
Filing Fee,2010-2012,250.00,CC10254,3049
Candidate Fundraiser Tickets,2012-2014,500.00,CC10254,3050
Bank Charges & Adjustments,2008-2010,28.00,CC10254,3051
Postage/Mailing,2008-2010,15830.91,CC10254,3052
Utilities,2008-2010,1151.56,CC10254,3053
Printing,2012-2014,10700.14,CC10254,3054
Contribution to Community Organization,2008-2010,5929.97,CC10254,3055
Postage/Mailing,2006-2008,11599.09,CC10254,3056
Advertising,2012-2014,134.40,CC10254,3057
Taxes,2012-2014,4.00,CC10254,3058
Printing,2008-2010,12407.78,CC10254,3059
"Surveys, Polls & Voter Lists",2010-2012,1000.00,CC10254,3060
Utilities,2010-2012,1324.18,CC10254,3061
Durable Assets,2012-2014,624.08,CC10254,3062
Lease/Rent,2006-2008,471.20,CC10254,3063
Office Supplies,2010-2012,790.64,CC10254,3064
Office Supplies,2008-2010,101.36,CC10254,3065
Filing Fee,2008-2010,250.00,CC10254,3066
Printing,2006-2008,4866.77,CC10254,3067
"Surveys, Polls & Voter Lists",2008-2010,417.05,CC10254,3068
Travel & Lodging,2006-2008,1881.65,CC10254,3069
Travel & Lodging,2008-2010,47.95,CC10254,3070
Taxes,2010-2012,1048.65,CC10254,3071
Printing,2010-2012,20027.83,CC10254,3072
Professional Services,2010-2012,8099.01,CC10254,3073
Travel & Lodging,2010-2012,571.25,CC10254,3074
Other,2006-2008,2582.55,CC10254,3075
Vehicle,2008-2010,81.43,CC10254,3076
Professional Services,2008-2010,11017.11,CC10254,3077
Postage/Mailing,2012-2014,5898.25,CC10254,3078
Food & Beverages,2008-2010,11120.27,CC10254,3079
Contribution to Political Party,2010-2012,25.00,CC10254,3080
Other,2008-2010,7621.06,CC10254,3081
Food & Beverages,2012-2014,11679.80,CC10254,3082
Other,2012-2014,31440.10,CC10254,3083
Contribution to Community Organization,2006-2008,1928.54,CC10254,3084
Bank Charges & Adjustments,2010-2012,6.10,CC10254,3085
Professional Services,2006-2008,11202.40,CC10254,3086
Food & Beverages,2006-2008,9876.45,CC10254,3087
Bank Charges & Adjustments,2012-2014,66.15,CC10254,3088
Durable Assets,2010-2012,2414.60,CC10254,3089
Advertising,2010-2012,925.00,CC10254,3090
Candidate Fundraiser Tickets,2008-2010,73.60,CC10254,3091
Advertising,2008-2010,2964.33,CC10254,3092
Taxes,2008-2010,4556.20,CC10254,3093
Contribution to Community Organization,2012-2014,860.53,CC10254,3094
Candidate Fundraiser Tickets,2006-2008,372.10,CC10254,3095
Other,2010-2012,3875.29,CC10254,3096
Durable Assets,2008-2010,637.37,CC10254,3097
Candidate Fundraiser Tickets,2010-2012,1598.43,CC10254,3098
Utilities,2006-2008,690.96,CC10254,3099
Office Supplies,2012-2014,41.87,CC10254,3100
Food & Beverages,2010-2012,8234.09,CC10254,3101
Contribution to Political Party,2012-2014,25.00,CC10254,3102
Utilities,2012-2014,927.23,CC10254,3103
Advertising,2006-2008,1844.08,CC10254,3104
Contribution to Community Organization,2010-2012,762.20,CC10254,3105
Contribution to Political Party,2006-2008,515.00,CC10254,3106
Postage/Mailing,2010-2012,14632.84,CC10254,3107
Office Supplies,2006-2008,1670.04,CC10254,3108
Lease/Rent,2008-2010,235.65,CC10255,3109
Travel & Lodging,2010-2012,195.98,CC10255,3110
Postage/Mailing,2008-2010,12614.32,CC10255,3111
"Surveys, Polls & Voter Lists",2008-2010,262.08,CC10255,3112
Postage/Mailing,2010-2012,3542.28,CC10255,3113
Contribution to Community Organization,2010-2012,1119.66,CC10255,3114
Contribution to Political Party,2010-2012,575.00,CC10255,3115
Candidate Fundraiser Tickets,2006-2008,2081.15,CC10255,3116
Utilities,2008-2010,91.12,CC10255,3117
Food & Beverages,2010-2012,1066.95,CC10255,3118
Durable Assets,2012-2014,1913.97,CC10255,3119
Professional Services,2008-2010,225.00,CC10255,3120
Contribution to Political Party,2008-2010,300.00,CC10255,3121
Advertising,2008-2010,15922.18,CC10255,3122
Advertising,2006-2008,298.43,CC10255,3123
Candidate Fundraiser Tickets,2008-2010,2250.00,CC10255,3124
Contribution to Political Party,2006-2008,500.00,CC10255,3125
Bank Charges & Adjustments,2006-2008,60.00,CC10255,3126
Other,2008-2010,1645.23,CC10255,3127
Candidate Fundraiser Tickets,2010-2012,1500.00,CC10255,3128
Postage/Mailing,2006-2008,42.00,CC10255,3129
Office Supplies,2008-2010,337.93,CC10255,3130
Office Supplies,2010-2012,101.25,CC10255,3131
Advertising,2010-2012,250.00,CC10255,3132
Bank Charges & Adjustments,2010-2012,89.40,CC10255,3133
Filing Fee,2008-2010,250.00,CC10255,3134
Food & Beverages,2006-2008,499.96,CC10255,3135
Contribution to Community Organization,2008-2010,700.00,CC10255,3136
Filing Fee,2006-2008,250.00,CC10255,3137
Bank Charges & Adjustments,2008-2010,158.26,CC10255,3138
Printing,2008-2010,25849.69,CC10255,3139
Office Supplies,2006-2008,309.82,CC10255,3140
Professional Services,2010-2012,100.00,CC10255,3141
Food & Beverages,2008-2010,9609.15,CC10255,3142
Other,2006-2008,2412.98,CC10256,3143
Professional Services,2006-2008,2131.78,CC10256,3144
Bank Charges & Adjustments,2006-2008,95.90,CC10256,3145
Office Supplies,2006-2008,8229.00,CC10256,3146
Postage/Mailing,2006-2008,18230.42,CC10256,3147
Durable Assets,2008-2010,576.67,CC10256,3148
"Surveys, Polls & Voter Lists",2006-2008,523.56,CC10256,3149
Lease/Rent,2006-2008,1703.82,CC10256,3150
Postage/Mailing,2008-2010,1576.95,CC10256,3151
Utilities,2006-2008,143.57,CC10256,3152
Filing Fee,2008-2010,2.50,CC10256,3153
Office Supplies,2008-2010,3400.43,CC10256,3154
Bank Charges & Adjustments,2008-2010,312.40,CC10256,3155
Filing Fee,2006-2008,305.00,CC10256,3156
Food & Beverages,2006-2008,6781.22,CC10256,3157
Contribution to Community Organization,2008-2010,1260.00,CC10256,3158
Vehicle,2008-2010,298.79,CC10256,3159
Professional Services,2008-2010,4610.54,CC10256,3160
Food & Beverages,2008-2010,27604.08,CC10256,3161
Utilities,2008-2010,190.17,CC10256,3162
Lease/Rent,2008-2010,2968.80,CC10256,3163
Travel & Lodging,2008-2010,1849.68,CC10256,3164
Taxes,2006-2008,109.29,CC10256,3165
Other,2008-2010,14907.14,CC10256,3166
Taxes,2008-2010,50.55,CC10256,3167
Advertising,2006-2008,90.17,CC10256,3168
Printing,2008-2010,4721.57,CC10256,3169
Printing,2006-2008,18593.24,CC10256,3170
Contribution to Political Party,2006-2008,233.00,CC10256,3171
Contribution to Community Organization,2006-2008,2390.28,CC10256,3172
Bank Charges & Adjustments,2008-2010,72.00,CC10258,3173
Bank Charges & Adjustments,2010-2012,288.00,CC10258,3174
Bank Charges & Adjustments,2006-2008,125.00,CC10258,3175
Bank Charges & Adjustments,2012-2014,113.07,CC10258,3176
Food & Beverages,2006-2008,350.00,CC10258,3177
Professional Services,2008-2010,157.07,CC10258,3178
Professional Services,2010-2012,334.93,CC10258,3179
Travel & Lodging,2012-2014,1183.00,CC10259,3180
Lease/Rent,2012-2014,195.90,CC10259,3181
Other,2006-2008,166.47,CC10259,3182
Postage/Mailing,2008-2010,639.21,CC10259,3183
Other,2008-2010,347.44,CC10259,3184
Postage/Mailing,2010-2012,443.00,CC10259,3185
Vehicle,2006-2008,62.15,CC10259,3186
Food & Beverages,2012-2014,4619.14,CC10259,3187
Professional Services,2012-2014,5054.77,CC10259,3188
Travel & Lodging,2006-2008,1176.92,CC10259,3189
Printing,2010-2012,645.03,CC10259,3190
Travel & Lodging,2010-2012,389.20,CC10259,3191
